dataset,pooling_strategy,error
crlm,avg,No module named 'tabpfn'
desmoid,avg,No module named 'tabpfn'
gist,avg,No module named 'tabpfn'
lipo,avg,No module named 'tabpfn'
liver,avg,No module named 'tabpfn'
melanoma,avg,No module named 'tabpfn'
crlm,multiscale,No module named 'tabpfn'
desmoid,multiscale,No module named 'tabpfn'
gist,multiscale,No module named 'tabpfn'
lipo,multiscale,No module named 'tabpfn'
liver,multiscale,No module named 'tabpfn'
melanoma,multiscale,No module named 'tabpfn'
crlm,percentile,No module named 'tabpfn'
desmoid,percentile,No module named 'tabpfn'
gist,percentile,No module named 'tabpfn'
lipo,percentile,No module named 'tabpfn'
liver,percentile,No module named 'tabpfn'
melanoma,percentile,No module named 'tabpfn'
